,Application,Actual Extension
471,securekernel,securekernel.exe
472,SecurityHealthHost,SecurityHealthHost.exe
473,SecurityHealthService,SecurityHealthService.exe
474,SecurityHealthSystray,SecurityHealthSystray.exe
475,SensorDataService,SensorDataService.exe
476,services,services.exe
477,sessionmsg,sessionmsg.exe
478,sethc,sethc.exe
479,setspn,setspn.exe
480,SettingSyncHost,SettingSyncHost.exe
481,setupcl,setupcl.exe
482,setupugc,setupugc.exe
483,setx,setx.exe
484,sfc,sfc.exe
485,SgrmBroker,SgrmBroker.exe
486,SgrmLpac,SgrmLpac.exe
487,shrpubw,shrpubw.exe
488,shutdown,shutdown.exe
489,sigverif,sigverif.exe
490,SIHClient,SIHClient.exe
491,sihost,sihost.exe
492,SlideToShutDown,SlideToShutDown.exe
493,slui,slui.exe
494,smartscreen,smartscreen.exe
495,smss,smss.exe
496,SndVol,SndVol.exe
497,SnippingTool,SnippingTool.exe
498,snmptrap,snmptrap.exe
499,sort,sort.exe
500,SpaceAgent,SpaceAgent.exe
501,spaceman,spaceman.exe
502,SpatialAudioLicenseSrv,SpatialAudioLicenseSrv.exe
503,Spectrum,Spectrum.exe
504,spoolsv,spoolsv.exe
505,SppExtComObj,SppExtComObj.Exe
506,sppsvc,sppsvc.exe
507,srdelayed,srdelayed.exe
508,SrTasks,SrTasks.exe
509,stordiag,stordiag.exe
510,subst,subst.exe
511,svchost,svchost.exe
512,sxstrace,sxstrace.exe
513,SyncAppvPublishingServer,SyncAppvPublishingServer.exe
514,SyncHost,SyncHost.exe
515,SysResetErr,SysResetErr.exe
516,systeminfo,systeminfo.exe
517,SystemPropertiesAdvanced,SystemPropertiesAdvanced.exe
518,SystemPropertiesComputerName,SystemPropertiesComputerName.exe
519,SystemPropertiesDataExecutionPrevention,SystemPropertiesDataExecutionPrevention.exe
520,SystemPropertiesHardware,SystemPropertiesHardware.exe
521,SystemPropertiesPerformance,SystemPropertiesPerformance.exe
522,SystemPropertiesProtection,SystemPropertiesProtection.exe
523,SystemPropertiesRemote,SystemPropertiesRemote.exe
524,systemreset,systemreset.exe
525,SystemSettingsAdminFlows,SystemSettingsAdminFlows.exe
526,SystemSettingsBroker,SystemSettingsBroker.exe
527,SystemSettingsRemoveDevice,SystemSettingsRemoveDevice.exe
528,SystemUWPLauncher,SystemUWPLauncher.exe
529,systray,systray.exe
530,tabcal,tabcal.exe
531,takeown,takeown.exe
532,TapiUnattend,TapiUnattend.exe
533,tar,tar.exe
534,taskhostw,taskhostw.exe
535,taskkill,taskkill.exe
536,tasklist,tasklist.exe
537,Taskmgr,Taskmgr.exe
538,tcblaunch,tcblaunch.exe
539,tcmsetup,tcmsetup.exe
540,TCPSVCS,TCPSVCS.EXE
541,ThumbnailExtractionHost,ThumbnailExtractionHost.exe
542,TieringEngineService,TieringEngineService.exe
543,timeout,timeout.exe
544,TokenBrokerCookies,TokenBrokerCookies.exe
545,TpmInit,TpmInit.exe
546,tpmvscmgr,tpmvscmgr.exe
547,tpmvscmgrsvr,tpmvscmgrsvr.exe
548,tracerpt,tracerpt.exe
549,TRACERT,TRACERT.EXE
550,tscon,tscon.exe
551,tsdiscon,tsdiscon.exe
552,tskill,tskill.exe
553,TSTheme,TSTheme.exe
554,TSWbPrxy,TSWbPrxy.exe
555,TsWpfWrp,TsWpfWrp.exe
556,ttdinject,ttdinject.exe
557,tttracer,tttracer.exe
558,typeperf,typeperf.exe
559,tzsync,tzsync.exe
560,tzutil,tzutil.exe
561,ucsvc,ucsvc.exe
562,UevAgentPolicyGenerator,UevAgentPolicyGenerator.exe
563,UevAppMonitor,UevAppMonitor.exe
564,UevTemplateBaselineGenerator,UevTemplateBaselineGenerator.exe
565,UevTemplateConfigItemGenerator,UevTemplateConfigItemGenerator.exe
566,UIMgrBroker,UIMgrBroker.exe
567,unlodctr,unlodctr.exe
568,unregmp2,unregmp2.exe
